electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.241389,3.781395,0,0,-7.488,1,1,0
0.22142,3.873677,0,0,-7.637,1,1,1
0.206539,6.100633,0,0,-7.813,1,1,2
0.200706,2.464939,0,0,-7.984,1,1,3
0.21046,1.25304,0,0,-8.147,1,1,4
0.239135,0.041142,0,0,-8.221,1,1,5
0.344273,4.888735,0,0,-8.256,1,1,6
0.393835,4.888735,0,0.524,-8.197,1,1,7
0.405839,4.286214,1.245169,3.87,-7.428,1,1,8
0.411284,3.070888,3.355036,6.419,-6.125,1,1,9
0.399042,1.858989,3.606322,7.779,-4.617,1,1,10
0.412678,1.858989,0,8.313,-3.123,1,1,11
0.427354,3.673408,0.343032,8.018,-1.863,1,1,12
0.456899,2.464939,0.196861,6.882,-0.976,1,1,13
0.458434,3.676837,2.688743,4.79,-0.522,1,1,14
0.491737,1.25304,2.510926,1.563,-0.578,1,1,15
0.534588,1.25304,0.508627,0,-1.068,1,1,16
0.705264,6.100633,0.449093,0,-1.3,1,1,17
0.67091,0.041142,0,0,-1.558,1,1,18
0.557523,1.25304,0.579583,0,-1.825,1,1,19
0.469176,2.464939,2.3063,0,-2.051,1,1,20
0.40841,2.464939,1.17559,0,-2.322,1,1,21
0.354601,2.464939,0,0,-2.731,1,1,22
0.276284,3.676837,0,0,-3.165,1,1,23
0.241389,2.464939,0,0,-3.6,1,2,0
0.22142,3.676837,0,0,-3.931,1,2,1
0.206539,3.676837,0,0,-4.008,1,2,2
0.200706,3.676837,0,0,-4.006,1,2,3
0.21046,3.676837,0,0,-4.075,1,2,4
0.239135,3.670213,5.228504,0,-4.116,1,2,5
0.344273,0.041142,4.406522,0,-4.229,1,2,6
0.393835,3.676837,0.913026,0.343,-4.213,1,2,7
0.405839,3.676837,2.390053,3.154,-3.435,1,2,8
0.411284,3.676837,0,5.984,-2.268,1,2,9
0.399042,2.464939,0,7.389,-0.614,1,2,10
0.839243,2.464939,0.963712,7.457,0.567,1,2,11
0.427354,4.282786,0.991225,5.611,1.031,1,2,12
0.410142,3.676837,0,5.158,1.313,1,2,13
0.423449,4.888735,0,3.797,1.398,1,2,14
0.423431,3.676837,0.43581,1.466,0.812,1,2,15
0.532154,4.282786,0,0.007,0.011,1,2,16
0.705264,4.888735,0.419429,0,-0.02,1,2,17
0.67091,2.464939,0,0,0.147,1,2,18
0.557523,2.464939,0.519866,0,0.206,1,2,19
0.469176,1.25304,0,0,0.278,1,2,20
0.40841,0.041142,0,0,0.254,1,2,21
0.354601,1.25304,0,0,0.265,1,2,22
0.276284,0.041142,0,0,0.19,1,2,23
0.241389,2.464939,0,0,0.052,1,3,0
0.22142,2.464939,0,0,-0.086,1,3,1
0.206539,2.464939,0,0,0.017,1,3,2
0.200706,3.676837,0,0,-0.026,1,3,3
0.21046,3.676837,0,0,-0.053,1,3,4
0.239135,3.676837,0.439544,0,0.027,1,3,5
0.344273,6.100633,0.508076,0,0.227,1,3,6
0.393835,3.676837,0,0,0.42,1,3,7
