electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.213769,0,0,0,8.145,6,1,0
0.172998,0,0,0,7.962,6,1,1
0.160418,0,0,0,7.656,6,1,2
0.156037,0,0,0,7.346,6,1,3
0.162272,0,0,0.015,7.075,6,1,4
0.185228,0,0,0.646,7.91,6,1,5
0.275233,9.70E-05,0.392388,2.216,8.83,6,1,6
0.309733,0.006894,0,4.368,9.795,6,1,7
0.313336,1.60E-05,1.323052,6.242,10.703,6,1,8
0.312754,0,0.392297,7.711,11.476,6,1,9
0.302281,0,0,8.711,12.095,6,1,10
0.312397,0,0,9.154,12.561,6,1,11
0.324206,0,0,9.06,12.951,6,1,12
0.310199,0,0,8.449,13.319,6,1,13
0.320196,0,0,7.331,13.454,6,1,14
0.310149,0,0,5.711,13.343,6,1,15
0.378989,0,0.428645,3.697,12.991,6,1,16
0.494534,0,1.06473,1.566,12.298,6,1,17
0.44695,0,0,0.398,10.922,6,1,18
0.375793,0,0.042537,0,8.881,6,1,19
0.357869,0,0.41177,0,8.121,6,1,20
0.362047,0,0,0,7.721,6,1,21
0.301347,0,0,0,7.538,6,1,22
0.222128,0,0.405708,0,7.464,6,1,23
0.189816,0,0,0,7.451,6,2,0
0.172998,0,0,0,7.578,6,2,1
0.160418,1.225673,0,0,7.845,6,2,2
0.156037,0.013895,0,0,7.995,6,2,3
0.162272,0.02076,0,0.023,8.387,6,2,4
0.185228,0.027569,0,0.55,9.435,6,2,5
0.275233,0.027686,0,2.261,10.702,6,2,6
0.309733,0.008144,0.392317,4.39,12.972,6,2,7
0.313336,4.00E-06,0.443678,6.229,15.453,6,2,8
0.312754,0,0,7.638,16.477,6,2,9
0.302281,0,0,8.556,16.842,6,2,10
0.312397,0,0,8.97,17.062,6,2,11
0.324206,0,0,8.876,17.258,6,2,12
0.310199,0,0,8.278,17.408,6,2,13
0.320196,0,0,7.174,17.446,6,2,14
0.310149,0,0.811466,5.57,17.31,6,2,15
0.378989,0,0,3.582,17.016,6,2,16
0.494534,0,0,1.524,16.318,6,2,17
0.44695,0,0.465748,0.415,14.619,6,2,18
0.375793,0,0.45034,0,12.573,6,2,19
0.406041,0,0,0,11.854,6,2,20
0.362047,0,0,0,11.444,6,2,21
0.301347,0,0,0,11.22,6,2,22
0.222128,0,0,0,11.111,6,2,23
0.189816,0,0,0,10.921,6,3,0
0.172998,0,0,0,10.492,6,3,1
0.160418,0,0,0,9.979,6,3,2
0.156037,0.006887,0,0,9.612,6,3,3
0.162272,0.00017,0,0.025,9.524,6,3,4
0.185228,0.020697,0.394943,0.605,11.111,6,3,5
0.275233,0.020756,0,2.212,12.502,6,3,6
0.309733,2.40E-05,0,4.249,14.674,6,3,7
0.313336,0,0.61217,6.052,16.798,6,3,8
0.312754,0,0.518755,7.43,18.056,6,3,9
0.302281,0,0,8.317,19.137,6,3,10
0.312397,0,0,8.688,20.068,6,3,11
0.324206,0,0,8.551,20.744,6,3,12
0.310199,0,0,7.964,21.128,6,3,13
0.320196,0,0,6.91,21.124,6,3,14
0.310149,0,0,5.394,20.826,6,3,15
0.440431,0,0.450031,3.492,20.566,6,3,16
0.531682,0,0,1.514,20.051,6,3,17
1.186751,0,1.230878,0.465,18.496,6,3,18
0.375793,0,0.34252,0,16.429,6,3,19
0.357869,0,0,0,15.661,6,3,20
0.362047,0,0.491123,0,15.052,6,3,21
0.301347,0,0,0,14.47,6,3,22
0.222128,0,0,0,14.002,6,3,23
0.189816,0,0,0,13.611,6,4,0
0.172998,0,0,0,13.235,6,4,1
0.160418,0,0,0,12.876,6,4,2
0.156037,0,0,0,12.62,6,4,3
0.162272,3.50E-05,0,0.026,12.739,6,4,4
0.185228,0.00686,0,0.439,13.719,6,4,5
0.275233,5.00E-06,0.484442,1.129,14.577,6,4,6
0.309733,0,0,2.533,16.009,6,4,7
0.313336,0,0,3.995,17.972,6,4,8
0.312754,0,0,5.554,19.369,6,4,9
0.302281,0,0.392247,6.522,20.296,6,4,10
0.312397,0,0,7.006,21.176,6,4,11
0.324206,0,0,6.724,22.046,6,4,12
0.310199,0,0.63592,6.359,22.975,6,4,13
0.353642,0,0.410595,5.63,23.75,6,4,14
0.310149,0,5.471313,4.324,24.078,6,4,15
0.378989,0,1.108931,2.809,23.997,6,4,16
0.494534,0,0,1.347,23.628,6,4,17
0.44695,0,0.454748,0.405,22.53,6,4,18
0.375793,0,0,0,21.221,6,4,19
0.357869,0,0.440986,0,20.591,6,4,20
0.362047,0,0,0,20.026,6,4,21
0.301347,0,0.417313,0,19.37,6,4,22
0.222128,0,0,0,18.557,6,4,23
0.189816,0,0,0,17.473,6,5,0
0.172998,0,0,0,16.194,6,5,1
0.160418,0,0,0,14.916,6,5,2
0.156037,0,0,0,13.439,6,5,3
0.162272,0,0,0.028,12.294,6,5,4
0.185228,0,0,0.515,12.042,6,5,5
0.275233,0,0,0.925,12.208,6,5,6
0.309733,0,0.392346,2.178,12.684,6,5,7
0.313336,0,0,4.308,13.619,6,5,8
0.312754,0,0,6.571,14.545,6,5,9
0.302281,0,0,7.959,15.091,6,5,10
0.312397,0,0,8.439,15.358,6,5,11
0.324206,0,0,8.21,15.391,6,5,12
0.310199,0,0.471302,7.221,15.018,6,5,13
0.320196,0,0,6.01,14.554,6,5,14
0.310149,0,0,5.068,14.314,6,5,15
0.378989,0,0,3.213,13.678,6,5,16
0.494534,0,0,1.547,12.599,6,5,17
0.44695,0,0.474292,0.441,11.323,6,5,18
0.375793,0,0,0,10.245,6,5,19
0.44244,0,0.425839,0,9.808,6,5,20
0.362047,0,0,0,9.704,6,5,21
0.301347,0,0,0,9.727,6,5,22
0.222128,0,0,0,9.734,6,5,23
0.189816,0.006912,0.392389,0,9.868,6,6,0
0.172998,0.007033,0,0,10.017,6,6,1
0.160418,0.01392,0,0,10.227,6,6,2
0.156037,0.020787,0,0,10.474,6,6,3
0.162272,1.232722,0,0.027,10.594,6,6,4
0.185228,1.239505,0,0.651,11.683,6,6,5
0.275233,0.027697,0,2.215,13.081,6,6,6
0.356033,0.003586,0,4.257,14.449,6,6,7
0.313336,4.00E-06,0.994815,6.046,15.511,6,6,8
0.312754,0,3.629169,7.373,16.583,6,6,9
0.341925,0,0.194234,8.29,17.403,6,6,10
0.312397,0,0,8.686,17.846,6,6,11
0.324206,0,0.392343,8.573,18.084,6,6,12
0.310199,0,0,7.967,18.191,6,6,13
0.320196,0,0,6.865,18.133,6,6,14
0.310149,0,0.496305,5.31,17.803,6,6,15
0.412164,0,0,3.428,17.34,6,6,16
0.494534,0,0,1.562,16.757,6,6,17
0.834883,0,0.994995,0.538,15.433,6,6,18
0.601907,0,0.42136,0,13.775,6,6,19
0.357869,0,0,0,13.157,6,6,20
0.362047,0,0,0,13.069,6,6,21
0.301347,0,0,0,13.354,6,6,22
0.222128,0,0,0,14.044,6,6,23
0.189816,0,0,0,14.473,6,7,0
0.172998,0,0,0,14.523,6,7,1
0.160418,0,0,0,14.47,6,7,2
0.156037,0,0,0,14.33,6,7,3
0.162272,0,0,0,14.698,6,7,4
0.239307,0,0,0.185,15.117,6,7,5
0.286194,0,0.401296,0.917,15.769,6,7,6
0.389084,0,0,1.784,16.918,6,7,7
0.313336,0,0,2.993,18.598,6,7,8
0.312754,0,0.423183,2.391,19.542,6,7,9
0.302281,0,0.521638,3.309,20.455,6,7,10
0.312397,0,0,3.814,21.571,6,7,11
0.324206,0,0,3.072,22.154,6,7,12
0.310199,0,0,2.472,22.223,6,7,13
0.320196,0,0,2.187,22.085,6,7,14
0.310149,0,0,1.833,22.072,6,7,15
0.378989,0,0,1.043,21.885,6,7,16
0.494534,0,0,0.721,21.597,6,7,17
0.44695,0,0.41192,0.246,21.121,6,7,18
0.375793,0,0.434279,0,20.57,6,7,19
0.357869,0,0,0,20.374,6,7,20
0.362047,0,0,0,19.987,6,7,21
0.301347,0,0.399508,0,19.038,6,7,22
0.222128,0,0.676461,0,18.349,6,7,23
0.896322,0,1.054084,0,17.89,6,8,0
0.172998,0,0,0,16.637,6,8,1
0.160418,0,0,0,15.785,6,8,2
0.156037,0,0,0,15.389,6,8,3
0.162272,0,0,0,15.088,6,8,4
0.185228,0,1.880848,0.702,15.625,6,8,5
0.275233,0,0,2.135,16.594,6,8,6
0.309733,0,0,3.701,18.318,6,8,7
0.313336,0,0,5.431,20.198,6,8,8
0.312754,0,0.428136,7.12,21.605,6,8,9
1.0098,0,1.165884,7.9,22.555,6,8,10
0.312397,0,0.462866,8.05,23.164,6,8,11
0.324206,0,0,7.691,23.508,6,8,12
0.310199,0,0,6.854,23.519,6,8,13
1.042032,0,1.990434,5.221,23.092,6,8,14
0.310149,0,1.853858,3.4,22.369,6,8,15
0.378989,0,0.704626,2.336,21.608,6,8,16
0.494534,0,0,1.009,20.507,6,8,17
0.44695,0,0,0.306,19.357,6,8,18
0.375793,0,0.402045,0,17.949,6,8,19
0.357869,0,0,0,17.278,6,8,20
0.362047,0,0,0,16.784,6,8,21
0.301347,0,0.464978,0,16.176,6,8,22
0.222128,0,0,0,15.572,6,8,23
0.189816,0,0.631933,0,15.09,6,9,0
0.172998,0,0,0,14.687,6,9,1
0.160418,0,0,0,14.305,6,9,2
0.156037,0,0,0,13.972,6,9,3
0.162272,0,0,0.026,13.774,6,9,4
0.185228,0,0,0.667,14.839,6,9,5
0.275233,0,0,1.974,15.782,6,9,6
0.309733,0,1.039369,3.643,17.336,6,9,7
1.094334,0,1.60421,5.221,19.958,6,9,8
0.312754,0,0,6.477,21.909,6,9,9
0.302281,0,0,7.361,23.025,6,9,10
0.312397,0,0,7.802,24.017,6,9,11
0.324206,0,0.450277,7.129,24.819,6,9,12
0.310199,0,0,6.675,25.377,6,9,13
0.320196,0,0,5.747,25.565,6,9,14
0.310149,0,0,4.826,25.612,6,9,15
0.378989,0,0,3.214,25.292,6,9,16
0.494534,0,0.503902,1.544,24.47,6,9,17
0.44695,0,0,0.482,22.44,6,9,18
0.375793,0,0.373313,0,20.848,6,9,19
0.357869,0,0.15667,0,20.4,6,9,20
0.362047,0,0,0,20.039,6,9,21
0.301347,0,0.521301,0,19.644,6,9,22
0.222128,0,0.008165,0,19.272,6,9,23
0.189816,0,0,0,19.145,6,10,0
0.172998,0,0,0,19.052,6,10,1
0.160418,0,0,0,18.722,6,10,2
0.156037,0,0,0,18.689,6,10,3
0.162272,0,0,0,18.768,6,10,4
0.185228,0,0,0.14,18.949,6,10,5
0.275233,0,0,0.525,19.264,6,10,6
0.309733,0,1.26445,1.992,19.942,6,10,7
0.313336,0,0.495494,2.474,20.976,6,10,8
0.312754,0,0.750574,5.344,22.823,6,10,9
