electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.189026,0,0.36191,0,16.88,7,16,0
0.172257,0,0,0,16.775,7,16,1
0.159676,0,0,0,16.635,7,16,2
0.15532,0,0,0,16.489,7,16,3
0.161503,0,0,0.01,16.569,7,16,4
0.18426,0,0,0.549,17.568,7,16,5
0.273933,0,0,1.812,18.466,7,16,6
0.30829,0,0.45838,3.699,20.147,7,16,7
0.311542,0,0,2.999,21.154,7,16,8
0.310645,0,0.706666,1.977,21.235,7,16,9
0.300146,0,0.550864,2.864,21.422,7,16,10
0.310335,0,0,3.684,21.818,7,16,11
0.952793,0,1.157662,5.426,22.64,7,16,12
0.30811,0,0,5.684,23.317,7,16,13
0.318223,0,0.41581,5.034,23.77,7,16,14
0.308027,0,0,4.092,23.917,7,16,15
0.377231,0,0,2.477,23.674,7,16,16
0.493226,0,0.434173,0.848,23.136,7,16,17
0.445498,0,0,0.105,22.521,7,16,18
0.374158,0,0.421546,0,22.027,7,16,19
0.356236,0,0,0,21.917,7,16,20
0.360241,0,0,0,21.818,7,16,21
0.2999,0,0,0,21.711,7,16,22
0.221346,0,0,0,21.951,7,16,23
0.189026,0,2.714017,0,22.056,7,17,0
0.172257,0,0,0,22.089,7,17,1
0.159676,0,0,0,22.229,7,17,2
0.15532,0,0,0,22.347,7,17,3
0.161503,0,0,0,22.469,7,17,4
0.18426,0,0,0.43,22.79,7,17,5
0.273933,0,0,1.629,23.363,7,17,6
0.30829,0,0,3.443,24.333,7,17,7
0.311542,0,0.433961,5.071,25.488,7,17,8
0.310645,0,0,6.285,26.711,7,17,9
0.300146,0,0,7.011,27.723,7,17,10
0.310335,0,0.460409,7.204,28.463,7,17,11
0.3222,0,0,6.801,28.911,7,17,12
0.30811,0,0.466603,6.187,29.177,7,17,13
0.318223,0,0,5.019,29.221,7,17,14
0.308027,0,0,4.214,29.208,7,17,15
0.377231,0,0,2.833,28.97,7,17,16
0.493226,0,0,1.449,28.498,7,17,17
0.445498,0,0,0.386,27.34,7,17,18
0.374158,0,0.906769,0,26.005,7,17,19
0.356236,0,0.014631,0,25.505,7,17,20
0.396162,0,0,0,25.055,7,17,21
0.305287,0,0,0,24.531,7,17,22
0.221346,0,0,0,24.059,7,17,23
0.189026,0,0,0,23.806,7,18,0
0.172257,0,0,0,23.827,7,18,1
0.159676,0,0,0,23.91,7,18,2
0.15532,0,0.392045,0,23.825,7,18,3
0.161503,0,0,0,23.696,7,18,4
0.18426,0,0,0.262,24.015,7,18,5
0.273933,0,1.33584,0.767,24.375,7,18,6
0.30829,0,0,1.358,24.784,7,18,7
0.311542,0,1.35641,2.075,25.437,7,18,8
0.415057,0,2.741408,2.532,26.314,7,18,9
0.679502,0,0.471982,2.551,26.538,7,18,10
0.310335,0,0,2.888,26.532,7,18,11
0.3222,0,0,3.456,26.792,7,18,12
0.30811,0,0.391984,3.788,27.108,7,18,13
0.318223,0,0,4.026,27.267,7,18,14
0.308027,0,0,3.615,27.125,7,18,15
0.377231,0,0.837631,2.359,26.733,7,18,16
0.493226,0,0,1.351,26.291,7,18,17
0.445498,0,0,0.305,25.534,7,18,18
0.374158,0,1.119538,0,24.662,7,18,19
0.356236,0,0.209743,0,24.343,7,18,20
0.360241,0,0,0,24.199,7,18,21
0.2999,0,0,0,24.078,7,18,22
0.221346,0,0,0,23.936,7,18,23
0.189026,0,0,0,23.783,7,19,0
0.172257,0,0,0,23.646,7,19,1
0.159676,0,0,0,23.482,7,19,2
0.15532,0,0,0,23.279,7,19,3
0.161503,0,0,0.004,23.073,7,19,4
0.308325,0,0,0.563,23.349,7,19,5
0.273933,0,0,1.842,23.637,7,19,6
