electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.241389,1.25304,0,0,5.661,12,1,0
0.22142,1.25304,0.392388,0,5.965,12,1,1
0.206539,2.464939,0,0,6.21,12,1,2
0.200706,1.25304,0,0,6.415,12,1,3
0.210407,1.25304,0,0,6.609,12,1,4
0.238875,0.041142,0.517116,0,6.573,12,1,5
0.343664,4.888735,0,0,6.095,12,1,6
0.393064,1.25317,0,0.04,5.256,12,1,7
0.404599,1.249611,0,1.574,4.56,12,1,8
0.409601,0.027896,0,5.718,4.426,12,1,9
0.397382,0.637206,2.054859,7.488,4.854,12,1,10
0.41105,1.249611,0,8.154,5.501,12,1,11
0.425748,0.027926,0,8.075,6.163,12,1,12
0.408543,0.041142,0,7.237,6.669,12,1,13
0.423469,1.246261,2.007299,5.479,6.86,12,1,14
0.429318,1.25304,0,2.609,6.477,12,1,15
0.544675,0.041142,0,0.05,4.99,12,1,16
0.717827,6.100633,2.466539,0,4.233,12,1,17
0.671552,0.041142,1.397472,0,3.581,12,1,18
0.544041,1.25304,0.412318,0,3.408,12,1,19
0.452342,3.676837,0,0,3.452,12,1,20
0.397371,1.25304,0,0,3.12,12,1,21
0.347234,3.676837,0,0,2.465,12,1,22
0.276284,6.100633,0,0,2.342,12,1,23
0.241389,7.312532,0,0,2.163,12,2,0
0.22142,7.312532,0,0,2.053,12,2,1
0.206539,2.464939,0,0,1.93,12,2,2
0.200706,4.888735,0.392388,0,1.495,12,2,3
0.210407,6.100633,0,0,1.257,12,2,4
0.238875,4.888735,0,0,1.09,12,2,5
0.343664,3.676837,0,0,0.884,12,2,6
0.393064,4.888735,0.441295,0.024,0.758,12,2,7
0.404599,4.888735,0,0.462,0.894,12,2,8
0.409601,3.676837,0.62399,0.823,1.045,12,2,9
0.397382,2.464939,0,0.891,1.101,12,2,10
0.41105,3.676837,0,1.125,1.06,12,2,11
0.425748,2.464939,0,1.607,1.212,12,2,12
0.408543,3.676837,0,1.142,1.276,12,2,13
0.423469,2.464939,0,0.684,1.336,12,2,14
0.429318,3.074316,0.431422,0.312,1.246,12,2,15
0.544675,3.673408,0.447769,0,0.938,12,2,16
0.717827,1.25304,0,0,0.956,12,2,17
0.671552,2.464939,0,0,0.999,12,2,18
0.544041,2.464939,0,0,0.88,12,2,19
0.452342,2.464939,0.566751,0,0.61,12,2,20
0.397371,1.25304,3.827292,0,0.292,12,2,21
0.347234,6.100633,0,0,0.007,12,2,22
0.276284,4.888735,0,0,-0.253,12,2,23
0.376649,6.100633,0.072833,0,-0.494,12,3,0
0.22142,2.464939,0.331139,0,-0.518,12,3,1
0.206539,0.041142,0,0,-0.197,12,3,2
0.200706,2.464939,0,0,0.199,12,3,3
0.210407,0.041142,0.778381,0,0.667,12,3,4
0.238875,0.041142,0,0,0.979,12,3,5
0.343664,2.464939,1.548148,0,0.974,12,3,6
0.393064,3.676837,4.041796,0.275,1.132,12,3,7
0.404599,2.871306,0,1.629,2.416,12,3,8
0.532383,2.858798,2.929418,2.887,3.008,12,3,9
0.74378,3.067612,0.815254,4.503,3.144,12,3,10
0.41105,2.461674,0,6.505,3.41,12,3,11
0.425748,2.458365,0,6.077,3.586,12,3,12
0.408543,0.037713,0,5.949,3.739,12,3,13
0.423469,0.034539,0,4.104,3.649,12,3,14
0.429318,0.034545,0.095302,1.938,3.169,12,3,15
0.544675,0.041142,0.299089,0.02,2.033,12,3,16
0.717827,6.094028,0.490926,0,1.801,12,3,17
0.671552,0.027907,0,0,1.784,12,3,18
0.544041,0.041142,0,0,1.694,12,3,19
0.452342,0.034546,0,0,1.385,12,3,20
0.397371,1.25304,0,0,1.278,12,3,21
0.347234,2.464939,0,0,1.13,12,3,22
0.276284,2.464939,0.419308,0,0.853,12,3,23
0.241389,4.888735,0,0,0.684,12,4,0
0.22142,4.888735,0,0,0.658,12,4,1
0.206539,4.888735,0,0,0.602,12,4,2
0.200706,6.100633,0,0,0.538,12,4,3
0.210407,4.888735,0,0,0.505,12,4,4
0.238875,6.100633,0,0,0.435,12,4,5
0.343664,1.25304,0,0,0.1,12,4,6
0.393064,3.676837,0.425725,0.243,-0.043,12,4,7
1.236183,1.25304,1.196776,1.911,0.536,12,4,8
0.577228,2.461531,3.240139,5.148,1.739,12,4,9
0.397382,2.464939,0.167594,7.557,3.392,12,4,10
0.41105,1.246396,1.149381,8.194,4.908,12,4,11
0.425748,0.630364,0,8.042,6.327,12,4,12
0.408543,1.239744,0,7.207,7.386,12,4,13
0.423469,0.021219,0.392388,5.619,7.727,12,4,14
0.429318,2.45507,0,3.186,6.669,12,4,15
0.544675,1.849087,0.07233,0.078,4.332,12,4,16
0.717827,1.85556,0.340242,0,3.398,12,4,17
0.671552,1.25304,0,0,2.772,12,4,18
0.544041,2.464939,0,0,2.216,12,4,19
0.452342,3.676837,0.397149,0,1.73,12,4,20
0.397371,3.666551,2.671725,0,1.624,12,4,21
0.347234,4.888735,3.457327,0,1.826,12,4,22
0.276284,4.888735,0,0,1.625,12,4,23
0.241389,6.100633,0,0,1.191,12,5,0
0.22142,3.676837,1.785942,0,0.71,12,5,1
0.206539,4.888735,1.999428,0,0.297,12,5,2
