electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.241389,3.676837,0,0,-3.654,1,16,0
0.22142,3.676837,0,0,-4.064,1,16,1
0.206539,4.888735,0.392388,0,-4.358,1,16,2
0.200706,6.100633,0,0,-4.506,1,16,3
0.21046,4.888735,0,0,-4.571,1,16,4
0.239135,4.888735,0,0,-4.469,1,16,5
0.344273,3.676837,0,0,-4.257,1,16,6
0.393835,3.676837,0,0.101,-3.651,1,16,7
0.405839,2.265406,0,0.977,-2.638,1,16,8
0.411284,1.853585,0,2.817,-1.451,1,16,9
0.399042,2.464939,0,4.609,-0.3,1,16,10
0.412678,1.849313,0,7.289,0.27,1,16,11
0.427354,3.264232,0,7.61,0.534,1,16,12
0.410142,1.851131,0,6.797,0.643,1,16,13
0.423449,1.25304,0.409677,5.374,0.556,1,16,14
0.423431,0.041142,0,2.783,-0.096,1,16,15
0.532154,1.855851,0.486366,0.155,-1.847,1,16,16
0.705264,5.491255,0,0,-2.716,1,16,17
0.67091,1.25304,0,0,-2.775,1,16,18
0.557523,2.464939,0.495996,0,-2.747,1,16,19
0.469176,3.676837,0,0,-2.835,1,16,20
0.40841,4.888735,0,0,-2.987,1,16,21
0.354601,3.676837,0,0,-3.007,1,16,22
0.276284,6.100633,0,0,-2.91,1,16,23
0.241389,6.100633,0,0,-2.903,1,17,0
0.22142,4.888735,0,0,-2.973,1,17,1
0.206539,4.888735,0,0,-2.546,1,17,2
0.200706,6.100633,0,0,-1.957,1,17,3
0.21046,6.100633,0,0,-1.446,1,17,4
0.239135,3.676837,0,0,-1.022,1,17,5
0.344273,2.464939,0,0,-0.734,1,17,6
0.393835,3.676837,0.401466,0.328,-0.278,1,17,7
0.405839,4.892163,0.416557,2.743,0.501,1,17,8
0.411284,2.866785,0,5.164,1.595,1,17,9
0.399042,2.25636,0,5.657,2.56,1,17,10
0.412678,1.235318,0,5.121,3.444,1,17,11
0.427354,2.45487,0.535367,4.289,4.1,1,17,12
0.410142,0.034475,0.889985,1.56,4.318,1,17,13
0.423449,1.246406,0,0.706,4.272,1,17,14
0.423431,0.027901,0,0.238,3.782,1,17,15
0.532154,0.640625,0,0,3.128,1,17,16
0.705264,3.670154,0,0,2.589,1,17,17
0.684429,0.041142,0.484369,0,2.175,1,17,18
0.601993,1.25304,0,0,1.874,1,17,19
0.469176,2.464939,0,0,1.762,1,17,20
0.40841,3.676837,0.449149,0,1.856,1,17,21
0.727,2.464939,0.634514,0,1.469,1,17,22
0.657654,3.676837,0.991242,0,1.266,1,17,23
0.241389,3.676837,0,0,1.062,1,18,0
0.22142,6.100633,0,0,0.864,1,18,1
0.206539,2.464939,0,0,0.611,1,18,2
0.200706,7.312532,0,0,0.416,1,18,3
0.21046,3.676837,0,0,0.226,1,18,4
0.239135,7.312532,0.392388,0,-0.261,1,18,5
