time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort,
2021-05-30T20:36:15.054,3001,400,300,120,24000,24000,winter,winter_L2_nns_no-abort,2201,0.938036007,0,0,0,-60.29171373,-0.938036007,0,-59.35367773
2021-05-30T20:36:12.026,3001,400,300,120,24000,24000,winter,winter_L2_nns_no-abort,3001,8.98942293,0,0,0,-66.88828306,-8.98942293,0,-57.89886013
2021-05-30T20:34:25.025,3001,300,600,120,24000,24000,summer,summer_L2_nns_no-abort,2201,0,0,0,0,61.75637205,0,0,61.75637205
2021-05-30T20:34:22.114,3001,300,600,120,24000,24000,summer,summer_L2_nns_no-abort,3001,0,0,0,0,60.25073106,0,0,60.25073106
2021-05-30T20:34:01.358,3001,400,300,120,24000,24000,winter,winter_L2_nns_abort_0-B-hack,2201,0.938036007,0,0,0,-60.29171373,-0.938036007,0,-59.35367773
2021-05-30T20:33:58.34,3001,400,300,120,24000,24000,winter,winter_L2_nns_abort_0-B-hack,3001,8.98942293,0,0,0,-66.88828306,-8.98942293,0,-57.89886013
2021-05-30T20:33:03.723,3001,400,300,120,24000,24000,summer,summer_L2_nns_abort_0-B-hack,2601,0,0,0,0,62.77974257,0,0,62.77974257
2021-05-30T20:33:00.754,3001,400,300,120,24000,24000,summer,summer_L2_nns_abort_0-B-hack,3001,0,0,0,0,61.12304331,0,0,61.12304331
2021-05-30T20:32:27.302,3001,300,600,120,24000,24000,summer,summer_L2_nns_abort_0-B-hack,2201,0,0,0,0,61.75637205,0,0,61.75637205
2021-05-30T20:32:24.363,3001,300,600,120,24000,24000,summer,summer_L2_nns_abort_0-B-hack,3001,0,0,0,0,60.25073106,0,0,60.25073106
2021-05-30T20:31:22.496,3001,400,300,120,24000,24000,winter,winter_L2_nns_abort_0,2001,0.029869473,0,0,0,-60.56948438,-0.029869473,0,-60.5396149
2021-05-30T20:31:19.496,3001,400,300,120,24000,24000,winter,winter_L2_nns_abort_0,3001,0.073214583,0,0,0,-65.5093127,-0.073214583,0,-65.43609812
2021-05-30T20:30:30.446,3001,300,600,120,24000,24000,winter,winter_L2_nns_abort_0-B-hack,1801,0,15.60664775,0,0,-79.97778092,-15.60664775,0,-64.37113317
2021-05-30T20:30:27.342,3001,300,600,120,24000,24000,winter,winter_L2_nns_abort_0-B-hack,3001,0.219364331,0.516611701,0,0,-93.83745111,-0.735976032,0,-93.10147508
2021-05-30T20:30:14.036,3001,400,300,120,24000,24000,summer,summer_L2_nns_abort_0,2701,0,0,0,0,61.97300475,0,0,61.97300475
